date,V-0,V-1,V-2,V-3,OT
1,0.0,0.0,0.0,0.0,0.0
2,0.06540312923014306,0.06540312923014306,0.06540312923014306,0.06540312923014306,0.06540312923014306
3,0.13052619222005157,0.13052619222005157,0.13052619222005157,0.13052619222005157,0.13052619222005157
4,0.19509032201612828,0.19509032201612828,0.19509032201612828,0.19509032201612828,0.19509032201612828
5,0.2588190451025208,0.2588190451025208,0.2588190451025208,0.2588190451025208,0.2588190451025208
6,0.3214394653031616,0.3214394653031616,0.3214394653031616,0.3214394653031616,0.3214394653031616
7,0.3826834323650898,0.3826834323650898,0.3826834323650898,0.3826834323650898,0.3826834323650898
8,0.44228869021900125,0.44228869021900125,0.44228869021900125,0.44228869021900125,0.44228869021900125
9,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
10,0.5555702330196022,0.5555702330196022,0.5555702330196022,0.5555702330196022,0.5555702330196022
11,0.6087614290087204,0.6087614290087204,0.6087614290087204,0.6087614290087204,0.6087614290087204
12,0.6593458151000688,0.6593458151000688,0.6593458151000688,0.6593458151000688,0.6593458151000688
13,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
14,0.7518398074789775,0.7518398074789775,0.7518398074789775,0.7518398074789775,0.7518398074789775
15,0.7933533402912353,0.7933533402912353,0.7933533402912353,0.7933533402912353,0.7933533402912353
16,0.8314696123025451,0.8314696123025451,0.8314696123025451,0.8314696123025451,0.8314696123025451
17,0.8660254037844385,0.8660254037844385,0.8660254037844385,0.8660254037844385,0.8660254037844385
18,0.8968727415326881,0.8968727415326881,0.8968727415326881,0.8968727415326881,0.8968727415326881
19,0.9238795325112866,0.9238795325112866,0.9238795325112866,0.9238795325112866,0.9238795325112866
20,0.9469301294951058,0.9469301294951058,0.9469301294951058,0.9469301294951058,0.9469301294951058
21,0.9659258262890684,0.9659258262890684,0.9659258262890684,0.9659258262890684,0.9659258262890684
22,0.9807852804032305,0.9807852804032305,0.9807852804032305,0.9807852804032305,0.9807852804032305
23,0.9914448613738103,0.9914448613738103,0.9914448613738103,0.9914448613738103,0.9914448613738103
24,0.9978589232386035,0.9978589232386035,0.9978589232386035,0.9978589232386035,0.9978589232386035
25,0.75,0.75,1.0,0.25,0.5
26,0.7494647308096509,0.7494647308096509,0.9994647308096509,0.24946473080965087,0.49946473080965087
